eventid, userid, eventtime, type, diffgold, diffpower, difflevel
1,99,2022-12-16 11:30:17,1,-87970,26254,0
2,174,2022-12-16 11:31:07,2,20719,0,0
3,732,2022-12-16 11:31:20,3,0,0,2
4,708,2022-12-16 11:32:08,2,77288,0,0
5,130,2022-12-16 11:32:34,2,77684,0,0
6,825,2022-12-16 11:33:20,1,-36675,45016,0
7,330,2022-12-16 11:33:50,2,3948,0,0
8,520,2022-12-16 11:34:26,2,96428,0,0
9,865,2022-12-16 11:34:44,2,23410,0,0
10,306,2022-12-16 11:34:52,1,-23628,26368,0
11,671,2022-12-16 11:35:38,3,0,0,2
12,780,2022-12-16 11:36:21,3,0,0,1
13,338,2022-12-16 11:36:23,2,11574,0,0
14,443,2022-12-16 11:37:04,1,-45585,93483,0
15,11,2022-12-16 11:37:17,2,86485,0,0
16,947,2022-12-16 11:38:05,3,0,0,1
17,118,2022-12-16 11:38:43,1,-97124,77675,0
18,583,2022-12-16 11:39:18,3,0,0,2
19,614,2022-12-16 11:39:52,1,-82493,46640,0
20,415,2022-12-16 11:40:11,1,-49883,51839,0
21,99,2022-12-16 11:40:38,1,-24126,23863,0
22,494,2022-12-16 11:41:07,1,-13715,16272,0
23,674,2022-12-16 11:41:10,2,68733,0,0
24,745,2022-12-16 11:41:38,1,-52041,18750,0
25,74,2022-12-16 11:42:20,1,-85853,85857,0
26,284,2022-12-16 11:42:32,2,55033,0,0
27,67,2022-12-16 11:42:50,1,-11413,37432,0
28,838,2022-12-16 11:43:14,3,0,0,1
29,900,2022-12-16 11:43:43,2,26704,0,0
30,435,2022-12-16 11:44:03,2,89740,0,0
31,443,2022-12-16 11:44:25,1,-10555,41506,0
32,596,2022-12-16 11:44:36,2,87190,0,0
33,933,2022-12-16 11:45:22,2,66379,0,0
34,333,2022-12-16 11:45:52,3,0,0,1
35,203,2022-12-16 11:46:06,1,-69436,7237,0
36,330,2022-12-16 11:46:30,3,0,0,2
37,779,2022-12-16 11:46:39,1,-45501,44191,0
38,307,2022-12-16 11:47:00,3,0,0,2
39,589,2022-12-16 11:47:21,2,16481,0,0
40,716,2022-12-16 11:47:26,3,0,0,2
41,986,2022-12-16 11:48:10,1,-12837,68151,0
42,767,2022-12-16 11:48:44,3,0,0,1
43,575,2022-12-16 11:49:15,3,0,0,2
44,651,2022-12-16 11:49:21,2,77015,0,0
45,27,2022-12-16 11:49:32,2,60689,0,0
46,138,2022-12-16 11:49:44,3,0,0,2
47,545,2022-12-16 11:49:48,2,23947,0,0
48,202,2022-12-16 11:49:54,2,5663,0,0
49,241,2022-12-16 11:50:22,1,-40306,76925,0
50,988,2022-12-16 11:50:58,1,-35299,3837,0
51,744,2022-12-16 11:51:06,1,-82647,31873,0
52,935,2022-12-16 11:51:10,3,0,0,2
53,223,2022-12-16 11:51:43,2,8078,0,0
54,380,2022-12-16 11:52:00,3,0,0,1
55,999,2022-12-16 11:52:23,2,78445,0,0
56,219,2022-12-16 11:52:27,3,0,0,1
57,211,2022-12-16 11:52:39,3,0,0,2
58,620,2022-12-16 11:53:23,3,0,0,1
59,454,2022-12-16 11:53:57,1,-33192,21887,0
60,572,2022-12-16 11:54:01,2,97996,0,0
61,955,2022-12-16 11:54:09,2,25766,0,0
62,362,2022-12-16 11:54:46,3,0,0,1
63,60,2022-12-16 11:55:28,3,0,0,1
64,887,2022-12-16 11:56:06,1,-66965,33630,0
65,476,2022-12-16 11:56:42,2,75298,0,0
66,613,2022-12-16 11:56:44,2,24347,0,0
67,654,2022-12-16 11:57:05,3,0,0,1
68,307,2022-12-16 11:57:36,1,-20079,97966,0
69,388,2022-12-16 11:58:24,1,-50440,17120,0
70,731,2022-12-16 11:58:28,3,0,0,2
71,746,2022-12-16 11:58:39,1,-79509,20843,0
72,252,2022-12-16 11:59:04,2,55575,0,0
73,773,2022-12-16 11:59:22,2,94802,0,0
74,859,2022-12-16 11:59:50,1,-7340,6117,0
75,743,2022-12-16 11:59:56,2,94957,0,0
76,859,2022-12-16 12:00:10,1,-72628,98073,0
77,401,2022-12-16 12:00:58,2,79820,0,0
78,423,2022-12-16 12:01:30,1,-48235,57189,0
79,766,2022-12-16 12:01:42,3,0,0,1
80,809,2022-12-16 12:02:22,1,-5394,17949,0
81,914,2022-12-16 12:02:59,3,0,0,1
82,887,2022-12-16 12:03:39,3,0,0,2
83,202,2022-12-16 12:03:55,3,0,0,2
84,117,2022-12-16 12:03:57,1,-71418,24328,0
85,766,2022-12-16 12:04:29,2,41207,0,0
86,881,2022-12-16 12:04:33,2,99797,0,0
